time,voltage,current,soc,temperature,power,remaining_distance
0,14.4236799197291,1.44236799197291,100,25,20.8042542426796,200
0.210147079705922,14.4278933780055,1.3572242833637,99.9836576071936,25.0000387079304,19.5818872504114,199.967315214387
0.420294159411845,14.431634355687,1.28157231227301,99.9682538461239,25.0000732194543,18.4951830110963,199.936507692248
0.630441239117767,14.4349779437024,1.21390834357877,99.9536866802269,25.0001041821378,17.5227401652359,199.907373360454
0.840588318823689,14.437983551414,1.1530298307815,99.9398698706384,25.00013297311,16.647425731113,199.879739741277
1.15437806769947,14.4419456486487,1.07270189974151,99.9204695428388,25.0001716668858,15.4919025332691,199.840939085678
1.53695513913442,14.4460832390349,0.98872348901816,99.8985624848329,25.0002124916915,14.2831818227454,199.797124969666
1.91953221056936,14.4496163544179,0.916935611676647,99.8783107771135,25.0002474208839,13.249367810431,199.756621554227
2.30210928200431,14.4526680653959,0.854867139386484,99.8594815796785,25.000277584848,12.3551110055674,199.718963159357
2.68468635343925,14.4553303958354,0.800667951325482,99.841887975049,25.0003039000283,11.5739197737665,199.683775950098
3.15659153448163,14.4581802310595,0.74259527330202,99.8216581441764,25.0003321532128,10.7365763001335,199.643316288353
3.62849671552401,14.4606421145292,0.692379760168421,99.8028478065941,25.0003565779343,10.0122559191391,199.605695613188
4.10040189656639,14.4627904076767,0.648522932449431,99.7852706141519,25.0003779056308,9.37945124658801,199.570541228304
4.72486528792515,14.4652451154609,0.598365634105245,99.7636418290708,25.0004023853516,8.65550556600054,199.527283658142
5,14.4662095296931,0.578648381187725,99.7546463453985,25.0004119496975,8.37084872627937,199.509292690797
5.27513471207485,14.465539587435,0.59164412905329,99.7457022317082,25.0004216254715,8.55845157049386,199.491404463416
6.19711102917752,14.4630599028192,0.639794822432201,99.7141645220075,25.0004595493134,9.25339084235051,199.428329044015
6.78981009017209,14.4612454069986,0.675116146486828,99.6925160082139,25.0004866971469,9.76302027257323,199.385032016428
7.56408955711783,14.4585559565151,0.727589929074011,99.6623469384231,25.0005257924089,10.5198997029135,199.324693876846
8.73185102923658,14.4536174398762,0.82420859990051,99.6120099791279,25.0005975047967,11.912795793618,199.224019958256
9.59266098976351,14.4490587532872,0.913643894682572,99.5704555142039,25.0006632913898,13.2012943138506,199.140911028408
10,14.4465420854264,0.963102805695096,99.5492201768874,25.0006993470096,13.9135052150665,199.098440353775
10.2359053537336,14.449354429409,0.906278044445,99.5369702615897,25.000718827273,13.0951326757775,199.073940523179
